26.06.2025-29.06.2025;;09.10.2025-19.10.2025;
Name;Preis;Name;Preis
Bijux Ferienwhnung auf Bauernhf im Wald;100 CHF pro Nacht;heimelige Wohnung in Goldach;96 CHF
winzige Wohnung;129 CHF pro Nacht;Gemütliche Wohnung im Zentrum von St. Gallen;78 CHF
gemütliches Studio im EG,  im Appenzellerland;71 CHF pro Nacht;Dein Zuhause in Herisau;104 CHF
Schönes Zimmer in der Nähe von HSG;89 CHF pro Nacht;Charmante Altbauwohnung ruhig und doch zentral;126 CHF
Möbliertes Studio mit Garten W5;169 CHF pro Nacht;Olma / Stadtzentrum / Cosy;126 CHF
Schöne 2 1/2 Zimmer Dachwohnung;174 CHF pro Nacht;Bijoux Ferienwohnung auf Bauernhof im Wald;85 CHF
Schöne;81 CHF pro Nacht;Gemütliche Wohnung;70 CHF
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;130 CHF pro Nacht;Poliba St.Gallen-3 1/2 zimmer wohnung;69 CHF
Ferienapartment Rietbach;106 CHF pro Nacht;gemütliches Studio im EG, im Appenzellerland;60 CHF
Appartement im Grünen;111 CHF pro Nacht;Einzigartige schöne Altbau- Wohnung im Zentrum;149 CHF
heimelige Wohnung in Goldach;124 CHF pro Nacht;Zur Geduld (direkt am Bahnhof);85 CHF
TuchBed | Budget Studio;238 CHF pro Nacht;Gemütliche Altbauwohnung im Zentrum;124 CHF
Histr. grssbürgerl. Wohnhaus,  ruhige Lage;89 CHF pro Nacht;2 Zimmer mit Balkon, Netflix und Mietfahrräder;112 CHF
Gemütliche Wohnung über einer Bäckerei;100 CHF pro Nacht;Zeit;76 CHF
Moderne,  helle Ferienwohnung mit gratis Parkplatz;126 CHF pro Nacht;Gemütliche Wohnung über einer Bäckerei;88 CHF
Queensize-Bett,  Arbeitsplatz,  gratis Parkplatz;258 CHF pro Nacht;Kernsanierte Wohnung nähe Bahnhof und Zentrum;129 CHF
Dein Zuhause in Herisau;184 CHF pro Nacht;Charmante Wohnung im Zentrum von Goldach;102 CHF
Nachhaltig Wohnen im 1. Stock,  gratis Parkplatz!;251 CHF pro Nacht;2. Charmante Wohnung in Seenähe;77 CHF
Sönd willkmm z 'Herisau! Zentral,  neu,  stillvoll;110 CHF pro Nacht;Attika 2,5 Zimmer möbliert Nähe HSG Universität;96 CHF
Grosszügige,  schöne und ruhige Wohnung;104 CHF pro Nacht;Wohnung, Nähe Olma Messe;85 CHF
Eigene Studiowohnung mit Küche;192 CHF pro Nacht;Luxuriöses Hotelzimmer im Grünen;95 CHF
Ferienwohnung gegenüber Bahnhof separater Eingang;106 CHF pro Nacht;2. Modernes Apartment 2 Min vom Bahnhof;149 CHF
Komfortables Zimmer/Bad & Frühstück;77 CHF pro Nacht;Atelier/Loft im Grünen Individuelles Altes Haus;126 CHF
Gemütliches Apartment am Schloss;101 CHF pro Nacht;Schöne Wohnung im Herzen von Herisau bis 4 Gäste;152 CHF
Kleines,  cooles Loft im schönen Appenzellerland;139 CHF pro Nacht;Idyllische Wohnung in der Natur;141 CHF
Nah an der Natur und üñV vor der Tür (mit Ticket);110 CHF pro Nacht;Traumhafte Wohnung mit Bergblick;97 CHF
Gemütliche Wohnung in St. Gallen;133 CHF pro Nacht;Moderne, helle Ferienwohnung mit gratis Parkplatz;114 CHF
Leimathf Attika;264 CHF pro Nacht;Grosszügige Garten-Wohnung;171 CHF
In der Natur auftanken;63 CHF pro Nacht;Zentrale Stadtwohnung mit Terasse;116 CHF
Wunderschönes Studio inmitten der Natur;138 CHF pro Nacht;2.5 Zimmer Dachwohnung mit Gartensitzplatz;144 CHF
