Name der Unterkunft;Preis pro Nacht
Zeitraum: 26.06.25 -29.06.2025;
;
Schönes Zimmer in der Nähe von HSG;71,00 CHF
gemütliches Studio im EG, im Appenzellerland;72,00 CHF
Bijoux Ferienwohnung auf Bauernhof im Wald;100,00 CHF
Histor. grossbürgerl. Wohnhaus, ruhige Lage;55,00 CHF
Zimmer mit separater Dusche;44,00 CHF
winzige Wohnung;118,00 CHF
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;88,00 CHF
Zimmer sehr zentral in Jugendstilwohnung;79,00 CHF
Schönes Einzelzimmer, zentral;35,00 CHF
gemütliches Zimmer mit Privatsphäre;45,00 CHF
Schöne 2 1/2 Zimmer Dachwohnung;139,00 CHF
Gemütliche Wohnung über einer Bäckerei;77,00 CHF
Birkenhof, Haus Märli;587,00 CHF
In der Natur auftanken;45,00 CHF
Herisau, Zuhause mittendrin und trotzdem ruhig;58,00 CHF
Dein Zuhause in Herisau;184,00 CHF
Nah an der Natur und ÖV vor der Tür (mit Ticket);75,00 CHF
heimelige Wohnung in Goldach;95,00 CHF
Charmante Wohnung im Zentrum von Goldach;101,00 CHF
Ferienwohnung Rietbach;106,00 CHF
Appartement im Grünen;111,00 CHF
Sympathische Wohnung in Arbon;88,00 CHF
spezielle Wohnung in Goldach;99,00 CHF
Moderne, helle Ferienwohnung mit gratis Parkplatz;119,00 CHF
Ferienwohnung Rotenwies;169,00 CHF
Haus zur Quelle;91,00 CHF
Ferienwohnung gegenüber Bahnhof separater Eingang;92,00 CHF
Im Grünen nahe des Zentrum (Familienzimmer 2+2);69,00 CHF
Grosszügige, schöne und ruhige Wohnung;104,00 CHF
Gartenstudio in Appenzellerhaus;80,00 CHF
;
Zeitraum: 09.10.25 -19.10.2025;
;
Gemütliche Wohnung im Zentrum von St. Gallen;78,00 CHF
Zur Geduld (direkt am Bahnhof);69,00 CHF
Gemütliche Wohnung;70,00 CHF
Gemütliche Altbauwohnung im Zentrum;95,00 CHF
Charmante Ferienwohnung 2 Zimmer W43;78,00 CHF
Zeit;64,00 CHF
Einzigartige schöne Altbau- Wohnung im Zentrum;116,00 CHF
Schönes Einzelzimmer, zentral;34,00 CHF
Schönes Zimmer in der Nähe von HSG;64,00 CHF
Studio mit Panoramaaussicht;58,00 CHF
Studio mit Charme und Aussicht;58,00 CHF
Olma / Stadtzentrum / Cosy;126,00 CHF
Schöne 2 1/2 Zimmer Dachwohnung;99,00 CHF
heimelige Wohnung in Goldach;67,00 CHF
Ganze Wohnung mitten in der Altstadt von Arbon;61,00 CHF
Das Haus mit dem Schwein;54,00 CHF
Bijoux Ferienwohnung auf Bauernhof im Wald;85,00 CHF
2. Modernes Apartment 2 Min vom Bahnhof;149,00 CHF
Helle Wohnung über St.Gallen;100,00 CHF
Säntis Park/Freies Parken/Netflix;74,00 CHF
Charmante Wohnung im Zentrum von Goldach;70,00 CHF
Gemütliche Wohnung über einer Bäckerei;65,00 CHF
Luxuriöses Hotelzimmer im Grünen;77,00 CHF
"Leben wie die Locals"" mitten im Zentrum""";86,00 CHF
Idyllische Wohnung in der Natur;141,00 CHF
Charmante Wohnung auf dem Lande und doch zentral;88,00 CHF
Gartenstudio in Appenzellerhaus;63,00 CHF
Bauernhaus mit Bildhauer Ambiente;75,00 CHF
1. Modernes Apartment 2 Min vom Bahnhof;149,00 CHF
Im Grünen nahe des Zentrum (Familienzimmer 2+2);55,00 CHF
