Angebote 26.06.2025-29.06.2025;;Angebote 09.10.2025-19.10.25;
Name;Preis;Name;Preis
Schönes Zimmer in der Nähe von HSG;71 CHF;Charmante Wohnung im Zentrum von Goldach;70 CHF
Bijoux Ferienwohnung auf Bauernhof im Wald;100 CHF;Im Grünen nahe des Zentrum (Familienzimmer 2+2);55 CHF
gemütliches Studio im EG, im Appenzellerland;73 CHF;Attika 2,5 Zimmer möbliert Nähe HSG Universität;96 CHF
Zimmer mit separater Dusche;44 CHF;Studio Trailalps: in der Nähe von St. Gallen;66 CHF
Histor. grossbürgerl. Wohnhaus, ruhige Lage;55 CHF;Kernsanierte Wohnung nähe Bahnhof und Zentrum;-
winzige Wohnung;129 CHF;Großzügige Wohnung in Herisau;-
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;88 CHF;1. Modernes Apartment 2 Min vom Bahnhof;149 CHF
Zimmer sehr zentral in Jugendstilwohnung;79 CHF;Felix' Global Citizen „Ein Original-Airbnb“;69 CHF
Schönes Einzelzimmer, zentral;35 CHF;TouchBed | Budget-Studio;-
Schöne 2 1/2 Zimmer Dachwohnung;140 CHF;Charmante Wohnung auf dem Lande und doch zentral;88 CHF
gemütliches Zimmer mit Privatsphäre;45 CHF;2.5 Zimmer Dachwohnung mit Gartensitzplatz;-
Birkenhof, Haus Märli;587 CHF;spezielle Wohnung in Goldach;-
Leimathof Attica;264 CHF;Zimmer III/III direkt am Bahnhof St.Gallen;77 CHF
In der Natur auftanken;45 CHF;Einkaufszentrum Arena | Kybunpark |;93 CHF
Gemütliche Wohnung über einer Bäckerei;77 CHF;Idyllisches Appenzeller Ferienhaus mit Garten;-
Sönd willkomm z 'Herisau! Zentral, neu, stillvoll;-;Idyllische Wohnung in der Natur;141 CHF
Appartement im Grünen;111 CHF;Haus zur Quelle;72 CHF
Gartenstudio in Appenzellerhaus;80 CHF;Herisau, Zuhause mittendrin und trotzdem ruhig;56 CHF
heimelige Wohnung in Goldach;95 CHF;Bauernhaus mit Bildhauer Ambiente;75 CHF
Charmante Wohnung im Zentrum von Goldach;103 CHF;Schöne Wohnung im Herzen von Herisau bis 6 Gäste;-
Ferienwohnung Rietbach;106 CHF;Schön schlafen auf dem Bauernhof;93 CHF
Ferienwohnung Rotenwies;169 CHF;Zentrale Stadtwohnung mit Terasse;116 CHF
Haus zur Quelle;91 CHF;3 Zimmer Ferienwohnung am Bodensee W20;113 CHF
Grosszügige Garten-Wohnung;210 CHF;Studio über Bäckerei;59 CHF
spezielle Wohnung in Goldach;99 CHF;St Gallen Ost G. I Olma I Zentral I Culture;303 CHF
Gemütliches kleines Häuschen mit Kamin und Garten;194 CHF;Atelier/Loft im Grünen Individuelles Altes Haus;-
Zwei helle Zimmer, Küche und Bad;104 CHF;Ferien auf dem Billenberghof;142 CHF
Bauernhaus mit Bildhauer Ambiente;113 CHF;Schöne Wohnung im Herzen von Herisau bis 4 Gäste;-
Appartement im Grünen;111 CHF;Altbauwohnung mit Charme;-
Nah an der Natur und ÖV vor der Tür (mit Ticket);75 CHF;Grosszügige Garten-Wohnung;-
